geracao,n_eval,n_frente,f1_min,f2_min,W0_min_kgf,Wf_min_kgf,n_viaveis
177,17700,1,0.9685166034641894,0.9202584555795187,277541.31800418993,100594.2882437672,1
178,17800,1,0.9685166034641894,0.9202584555795187,277541.31800418993,100594.2882437672,1
179,17900,1,0.9684673211456177,0.9201851237543079,277527.19550014427,100586.2722752988,1
180,18000,1,0.9684401893350693,0.9201074874634919,277519.42051886616,100577.78578178259,1
181,18100,1,0.9681779352652155,0.9191185432354194,277444.2681260844,100469.68338931601,1
182,18200,1,0.9681779352652155,0.9191185432354194,277444.2681260844,100469.68338931601,1
183,18300,2,0.968069593020064,0.919012940010215,277413.22121433576,100458.13980478139,2
184,18400,1,0.9680573805762327,0.9188543957821239,277409.72157607984,100440.80919110075,1
185,18500,1,0.9680573805762327,0.9188543957821239,277409.72157607984,100440.80919110075,1
186,18600,1,0.9680573805762327,0.9188543957821239,277409.72157607984,100440.80919110075,1
187,18700,2,0.9679153914381512,0.9188543957821239,277369.03269951907,100440.80919110075,2
188,18800,3,0.9679153914381512,0.918652774073673,277369.03269951907,100418.76973888693,3
189,18900,4,0.9679153914381512,0.9175017663258029,277369.03269951907,100292.95203576447,4
190,19000,5,0.9678771164307358,0.9175017663258029,277358.06448692805,100292.95203576447,5
191,19100,7,0.9678771164307358,0.9174487121895102,277358.06448692805,100287.152639903,7
192,19200,4,0.9678771164307358,0.9174062949941164,277358.06448692805,100282.51597771961,4
193,19300,4,0.9676349884400701,0.9174062949941164,277288.67948989786,100282.51597771961,4
194,19400,6,0.9676233478790797,0.9168649213348394,277285.3437322784,100223.33793094514,6
195,19500,8,0.9676233478790797,0.9168649213348394,277285.3437322784,100223.33793094514,8
196,19600,3,0.9675862675549687,0.9168305455725881,277274.71787208255,100219.58028512777,3
197,19700,3,0.9675862675549687,0.9168305455725881,277274.71787208255,100219.58028512777,3
198,19800,6,0.9675116256844977,0.9168305455725881,277253.32825105306,100219.58028512777,6
199,19900,6,0.9673905528214998,0.9168305455725881,277218.6332113906,100219.58028512777,6
200,20000,3,0.9673446106093496,0.9167213706407545,277205.46785927727,100207.64627409502,3
201,20100,5,0.9673446106093496,0.9167213706407545,277205.46785927727,100207.64627409502,5
202,20200,4,0.9673446106093496,0.9164835751812417,277205.46785927727,100181.65263627266,4
203,20300,4,0.9673446106093496,0.9164835751812417,277205.46785927727,100181.65263627266,4
204,20400,2,0.9672030641271572,0.9164835751812417,277164.90583165066,100181.65263627266,2
205,20500,2,0.9672030641271572,0.9161116540612888,277164.90583165066,100140.99760059475,2
206,20600,4,0.9672030641271572,0.9161116540612888,277164.90583165066,100140.99760059475,4
207,20700,5,0.9672030641271572,0.9161116540612888,277164.90583165066,100140.99760059475,5
208,20800,5,0.9672030641271572,0.9161116540612888,277164.90583165066,100140.99760059475,5
209,20900,2,0.9671756474954804,0.9159227582276683,277157.04923108895,100120.34922532577,2
210,21000,3,0.9671756474954804,0.9159227582276683,277157.04923108895,100120.34922532577,3
211,21100,5,0.9671700502665731,0.9157828391768733,277155.44527067925,100105.05454670463,5
212,21200,2,0.9671285681013125,0.9157828391768733,277143.5580043393,100105.05454670463,2
213,21300,1,0.966958858508696,0.9151810892376447,277094.9254627346,100039.27671388994,1
214,21400,1,0.966958858508696,0.9151810892376447,277094.9254627346,100039.27671388994,1
215,21500,1,0.966958858508696,0.9151810892376447,277094.9254627346,100039.27671388994,1
216,21600,2,0.966958858508696,0.9139480957665888,277094.9254627346,99904.4970768455,2
217,21700,2,0.966958858508696,0.9138095131798599,277094.9254627346,99889.3484883262,2
218,21800,3,0.966958858508696,0.9138040103530736,277094.9254627346,99888.74696932841,3
219,21900,2,0.966958858508696,0.9137809282041729,277094.9254627346,99886.22383865167,2
220,22000,1,0.966708501843017,0.9126598750581796,277023.18242940394,99763.68050028743,1
221,22100,2,0.966708501843017,0.9126598750581796,277023.18242940394,99763.68050028743,2
222,22200,1,0.9664310496673124,0.9122391616038499,276943.67481719283,99717.69193018925,1
223,22300,1,0.9664308874592258,0.9122383970060836,276943.6283343076,99717.60835131243,1
224,22400,1,0.9664267374674238,0.9122326219344251,276942.43909894465,99716.97707298023,1
225,22500,1,0.9663962064922006,0.9122112294786874,276933.6900418061,99714.63864419896,1
226,22600,2,0.9663962064922006,0.91186002800431,276933.6900418061,99676.24849181193,2
227,22700,3,0.9663962064922006,0.91186002800431,276933.6900418061,99676.24849181193,3
228,22800,2,0.9663840137193164,0.91186002800431,276930.1960405217,99676.24849181193,2
229,22900,2,0.9663726600928202,0.9117885076615483,276926.94250779896,99668.43053813658,2
230,23000,2,0.9662313083296195,0.9114420652622935,276886.43627949,99630.56060457694,2
231,23100,2,0.9662313083296195,0.9114420652622935,276886.43627949,99630.56060457694,2
232,23200,2,0.9661907858780872,0.9113125247842023,276874.824031887,99616.40041717161,2
233,23300,1,0.9661159278399792,0.911262528297037,276853.3724651453,99610.93525571552,1
234,23400,2,0.9661159278399792,0.9111926036705406,276853.3724651453,99603.29173123554,2
