caso,rotulo,eps_kgf,W0_kgf,Wf_kgf,b_w,g_min,viavel,n_objfun,tempo_s,sucesso,S_w,AR_w,sweep_w,xr_w,Cht,Cvt,x_mlg,y_mlg,z_lg
base,letra E (roteiro),99098.43348995838,276769.35675054824,99098.43330689061,64.64752475511867,-6.45039577307216e-14,True,60,0.6122400760650635,True,388.04157671205974,10.770243983584436,0.6136551389712261,18.633221471787273,0.7,0.06483304961967983,32.242056936253014,6.95,-5.670387032252172
letraF,letra F (teto relaxado),98863.4580457864,277174.64113217546,98863.45804626295,66.20304939665621,-3.334743592375844e-11,True,260,2.8336849212646484,True,392.2164561392161,11.174553440614496,0.5913185328248545,18.968866471134756,0.7000000000009423,0.0642746293667104,32.265742643559975,6.949999999996823,-5.666210602982345
letraF,letra F (teto relaxado),98875.206817995,277013.332435009,98875.20681799509,65.84612749343279,-2.098321516541546e-14,True,90,1.020646333694458,True,391.1809863859507,11.083648379585773,0.5962912727593999,18.89615922443609,0.7,0.06442590766149696,32.26045803114806,6.95,-5.6671424227475935
letraF,letra F (teto relaxado),98886.95559020361,276958.48343951174,98886.9555902759,65.69984542597541,-6.217248937900877e-13,True,80,0.8853709697723389,True,390.7694403409252,11.046077925723095,0.5983550553342004,18.86564904284019,0.7,0.06448412514571578,32.258267767021174,6.95,-5.667528625408039
letraF,letra F (teto relaxado),98898.7043624122,276921.14377870114,98898.70436241341,65.58822051364578,-6.59472476627343e-14,True,80,0.8529989719390869,True,390.46053124464464,11.017284273096749,0.5999400688628371,18.84208239848342,0.7,0.06452702514660047,32.2565865652015,6.9499999999999975,-5.667825066648864
letraF,letra F (teto relaxado),98910.4531346208,276892.8629776799,98910.45313462077,65.4945314003429,-1.0436096431476471e-14,True,80,0.9163401126861572,True,390.2047313621645,10.993033396535662,0.6012772511696832,18.822109463876618,0.7,0.06456199593245528,32.25516878874625,6.95,-5.668075058890541
letraF,letra F (teto relaxado),98922.2019068294,276870.3684230111,98922.2019068294,65.41230172958723,-1.3322676295501878e-15,True,71,0.7456851005554199,True,389.98285896532855,10.97168534256775,0.6024560542951972,18.804432779071288,0.7000000000000001,0.06459189940143233,32.25391930231315,6.9499999999999975,-5.6682953770607325
letraF,letra F (teto relaxado),98933.950679038,276851.98201201344,98933.95068244076,65.33821026700097,-3.129341230589944e-11,True,70,0.7277071475982666,True,389.7850776271369,10.95239906792578,0.6035223550697897,18.788386956822144,0.7,0.06461820337399433,32.25278931935404,6.949999999999995,-5.668494623544144
letraF,letra F (teto relaxado),98945.69945124659,276836.70706443803,98945.69945188767,65.27028426016139,-5.910161249289558e-12,True,70,0.7083272933959961,True,389.60554494229956,10.934674987834702,0.604503405615556,18.773576758736557,0.7,0.06464177980733886,32.251749862245155,6.949999999999998,-5.668677907877739
letraF,letra F (teto relaxado),98957.4482234552,276823.8942796414,98957.44822357087,65.20723836617414,-1.0412781747959343e-12,True,70,0.7553689479827881,True,389.4404544676534,10.918187585712717,0.6054169633629207,18.759744661307423,0.7,0.06466319688698716,32.250782051122016,6.95,-5.668848559090983
letraF,letra F (teto relaxado),98969.19699566379,276813.0927403138,98969.19699568556,65.14817989248775,-1.9761969838327786e-13,True,70,0.7720391750335693,True,389.28716267599475,10.902710775583628,0.6062753620997181,18.74671180534443,0.7,0.06468284927149744,32.2498727739049,6.949999999999995,-5.669008889197306
letraF,letra F (teto relaxado),98980.94576787238,276803.9741910255,98980.94576787618,65.0924589177016,-4.107825191113079e-14,True,70,0.7543389797210693,True,389.14374503951313,10.888079949794513,0.6070875820795834,18.73434796970325,0.7,0.06470102432243827,32.2490124846195,6.95,-5.669160581409538
