,$W_0$,$W_f$,$\Delta S_{wlan}$,$SM_{fwd}$,$SM_{aft}$,$C_{Lv}$,"$f_{nlg,fwd}$","$f_{nlg,aft}$",$\alpha_{tip}$,$\alpha_{tail}$,$\phi_{ovt}$,$V_{tank}$
$b_{flap}/b_w$,0.020039182174601194,0.02171263691606769,0.7880711240368633,-0.0020301155038324964,-0.004306667829591154,0.267967831383865,-0.001457693866342875,-0.002321013305481147,-0.002236093768436659,0.0,-7.538684546206115e-05,0.0
$c_{slat}/c_w$,0.01041970541807094,0.011289902774964566,0.23469406811153834,-0.001055549889180828,-0.002239269968835304,0.07919515929924138,-0.0007579217025687032,-0.0012068205856289056,-0.001162666403879978,0.0,-3.9197067111032834e-05,0.0
$b_{slat}/b_w$,0.0054551160907375775,0.005910684840912312,0.10594083827552689,-0.0005526304278602089,-0.0011723558575312295,0.03564158821299804,-0.0003968079567498213,-0.0006318234077383521,-0.0006087067421006731,0.0,-2.0521523874169883e-05,0.0
$M_{cr}$,1.090188103021949,2.0574044868889887,-2.7283113447258214,-0.23226451205874557,-0.9993398714700434,-1.0735055416879316,0.2309394529737497,0.11175625119489044,0.107657976211673,0.0,0.01194486104432236,0.0
$h_{cr}$,0.30146656275276956,0.5687636447355812,-0.7544520444994384,0.09024473660705065,0.0576253768381675,-0.30097702050762765,0.06479887413952198,0.031056322815473655,0.0299197841401765,0.0,0.00335121603073089,0.0
$R$,0.7992550584894231,1.507874084287208,-2.0002205466759673,0.23955848388009857,0.15283623652962267,-0.7988922206248694,0.17201136187690005,0.08236877153786716,0.07935489018071785,0.0,0.008895840241731238,0.0
$d_{TO}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$d_{LDG}$,0.0,0.0,2.8719355021808304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$MLW/MTOW$,0.0,0.0,-2.5026060522611457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$BPR$,-0.0008052054396236233,-0.001519093722442759,0.0020151120064967566,-0.00024145495046251546,-0.00015400390005904427,0.000805205151774923,-0.0001733730911515021,-8.29980660861969e-05,-7.996139992759414e-05,0.0,-8.966251612063738e-06,0.0
$C_{ref}$,0.8548888325021027,1.6128358578832287,-2.139449966230231,0.25621945786597405,0.16347006772374473,-0.8544532548473897,0.1839745233524929,0.08809971357156843,0.08487610428502591,0.0,0.009514535255189647,0.0
$T_{max}$,0.0,0.0,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
$W_{pay}$,0.3645244764717106,0.3949723961715156,-0.9122611610154261,0.05491714407684658,0.018683288936307184,-0.3645225992296201,0.03943242831581802,0.010069075193904833,0.009700673722110965,0.0,0.002039308061458766,0.0
"$x_{cg,pay}$",0.0,0.0,0.0,0.0,-5.338521141439024,0.0,0.0,-2.877114997293378,-2.7788900151675846,0.0,0.0,0.0
